ID,Business Name,Street Address,Ste Number #,City,State,Zip Code,Phone Number,User,Active Order,Reset Order (Leave Empty),Receiving Manager,Receiving Hours Open,Receiving Hours Closed,Opening Hours,Closing Hours,Delivery Door,Profit margin percent,Profit margin special temporary,Group Users,Manager Phone Number,Store Front,Term,Manager,Customer Online Account,First Time Online Buy,Created,Updated
13,Yolo Mini Mart,14212 1st St ,,Yolo,CA,95697,5306627077,ernesto@mvicorp.net,Yolo Mini Mart,Yolo Mini Mart,,,,,,,,,,,,,,,,2025-03-19T23:15:34.960Z,2025-06-12T23:02:18.154Z
12,Dunnigan General Store,29020 County Road 6,,Dunnigan ,CA,5937,5307243575,ernesto@mvicorp.net,Dunnigan General Store,Dunnigan General Store,,,,,,,,,,,,,,,,2025-03-19T22:34:25.781Z,2025-05-29T17:20:45.631Z
11,Mercadito Sinaloense,1810 E Main St,104,woodlaand,CA,75776,5306318031,ernesto@mvicorp.net,Mercadito Sinaloense,Mercadito Sinaloense,,9.3,8,,,,,,,,,,,,,2025-03-19T21:22:56.604Z,2025-03-19T21:39:24.548Z
10,A New Customer,,,,,,,ernesto@mvicorp.net,Mercadito Sinaloense,,,,,,,,,,,,,,,,,2025-03-19T21:13:46.922Z,2025-09-18T03:45:11.751Z
9,El Molino Supermarket ,1500 Monument Blvd,F,Concord,CA,94520,9256877066,ernesto@mvicorp.net,,El Molino Supermarket ,,,,,,,,,,,,,,,,2025-03-18T20:10:58.381Z,2025-06-10T20:42:33.618Z
8,International Market,1736 N Texas St,,Fairfield,CA,94533,,anabejarano@icloud.com,,International Market,,,,,,,,,,,,,,,,2025-03-18T02:28:03.229Z,2025-08-25T19:03:46.328Z
7,Azteca Market,1701 N Texas St,,Fairfield,CA,94533,,anabejarano@icloud.com,,Azteca Market,,,,,,,,,,,,,,,,2025-03-18T02:26:49.141Z,2025-08-25T19:02:38.954Z
5,Vargas,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-15T00:55:58.149Z,2025-03-15T00:55:58.149Z
4,La Tapatia,,,,,,,ernesto@mvicorp.net,,,,,,,,,,,,,,,,,,2025-03-15T00:53:00.123Z,2025-03-15T00:53:00.123Z
3,La Superior #2,4940 Stockton Blvd,,Sacramento,CA,95820,,,,,,,,,,,,,,,,,,,,2025-03-13T21:59:14.525Z,2025-05-11T05:34:10.145Z
2,La Superior  #1,2200 Northgate Blvd,,Sacramento,CA,95833,,ernesto@mvicorp.net,,,,,,,,,,,,,,,,,,2025-02-03T05:08:24.884Z,2025-06-27T23:34:10.782Z
1,La Morenita Market,2434 Jefferson St,,Napa,CA,94558,7072559068,ernesto@mvicorp.net,,La Morenita Market,,,,,,,,,,,,,,,,2025-01-31T10:51:38.113Z,2025-06-17T19:02:05.120Z
