ID,Brand Name,Brand Logo,Importance,Products Identifier,Created,Updated
32,Ghost,,,,2025-03-18T17:34:37.396Z,2025-03-18T17:34:37.396Z
31,Parrot,,,,2025-03-18T17:27:40.052Z,2025-03-18T17:27:40.052Z
30,Bonafont,,,,2025-03-18T17:26:04.709Z,2025-03-18T17:26:04.709Z
29,Snapple,,,,2025-03-18T17:19:30.972Z,2025-03-18T17:19:30.972Z
28,Lipton,,,,2025-03-18T17:01:37.798Z,2025-03-18T17:01:37.798Z
27,Jumex,,,,2025-03-18T17:01:25.676Z,2025-03-18T17:01:25.676Z
26,Pepsi,,,,2025-03-18T17:01:02.773Z,2025-03-18T17:01:02.773Z
25,Fresca,,,,2025-03-18T17:00:42.295Z,2025-03-18T17:00:42.295Z
24,Vero,,,,2025-03-18T03:23:48.844Z,2025-03-18T03:23:48.844Z
23,Tio Pol,,,,2025-03-18T00:00:49.080Z,2025-03-18T00:00:49.080Z
22,Marinela,,,,2025-03-17T20:36:10.697Z,2025-03-17T20:36:10.697Z
21,Nestle,,,,2025-03-17T19:58:57.588Z,2025-03-17T19:58:57.588Z
20,Amos,,,,2025-03-17T19:21:16.500Z,2025-03-17T19:21:16.500Z
19,Peeps,"{'url':'4ac0bacea1c3d1d5295ba377d14f0c1c568ef8bec045994d727333f388a25723.png','size':794180,'width':1080,'height':1080,'filename':'Peeps brand logo.png','metadata':{'width':1080,'height':1080,'blurHash':'eRRyWx%f?w%MtT?HofWBaeaf.9f8WGkBaIxvaeo3ofoy%hfjV=j]IA','blurHashWidth':32}}",,,2025-03-17T18:51:13.930Z,2025-03-17T18:51:13.930Z
18,Totis,"{'url':'abf668f0de707a7ed2e646a278a4be6c418cfbea729b987fbf5dd1514c43a2eb.png','size':819489,'width':1080,'height':1080,'filename':'14.png','metadata':{'width':1080,'height':1080,'blurHash':'ePRo{N%f?w-;yF?aofWBjZWX?djuT0fkR4%MjZj]azoeyEa}Vrj]Mw','blurHashWidth':32}}",,,2025-02-23T08:27:25.224Z,2025-02-23T08:27:25.224Z
17,Boing,"{'url':'adb4e3af1c9d03111006fcaab5f5392d077512362fd0df77039183caba2fa146.png','size':726991,'width':1080,'height':1080,'filename':'5.png','metadata':{'width':1080,'height':1080,'blurHash':'eKRyf~-;?d?H%%?bofV[aeWC?KoMX.WXMb-qWBWXoft6yYWVVWs:IT','blurHashWidth':32}}",,,2025-02-23T08:21:40.857Z,2025-02-23T08:21:40.857Z
16,Zambos,"{'url':'4bd7ad381737dfe6a35b78c3e1670bd55592c465ff4ac89bc0d0d39658f23a16.png','size':753880,'width':1080,'height':1080,'filename':'21.png','metadata':{'width':1080,'height':1080,'blurHash':'eKS60u-;.T-;.A?bofWBaeWC%%f6xdkCI8%gaee=oft7-?j]M]j[Mw','blurHashWidth':32}}",,,2025-02-23T08:13:29.933Z,2025-02-23T08:13:29.933Z
15,Lucas,"{'url':'c15bdbcdc4420d0d51eba0457db366b498d6d7108de256e4e94811a69da313c8.png','size':784417,'width':1080,'height':1080,'filename':'brandcoinsvectors2.png','metadata':{'width':1080,'height':1080,'blurHash':'eVRyWu%M.A%Mx_-:ofWCayWC.Aj[WVazROxvaeaykCt7x]ayaKkCMx','blurHashWidth':32}}",,,2025-02-23T04:42:18.638Z,2025-02-23T04:42:18.638Z
14,Las Delicicas,"{'url':'b0de77629863e14ce2c121845cbdaa74b48d1c814babe6df137b782d1a684120.png','size':847931,'width':1080,'height':1080,'filename':'13.png','metadata':{'width':1080,'height':1080,'blurHash':'eWSFeA%MyZ%M%N-:ofWDayaepffkw^j]M_xuayj?j]oz-;juM{j[RO','blurHashWidth':32}}",,,2025-02-23T04:31:15.088Z,2025-02-23T04:31:15.088Z
13,Bondy Fiesta,"{'url':'d955559f6ded03d98285459b4d2f52ab6f14733eac6fdb607a9529be057bfe01.png','size':838457,'width':1080,'height':1080,'filename':'18.png','metadata':{'width':1080,'height':1080,'blurHash':'ePRV,;%M~q-;TM?aofV[ayWW^,oLI^WXr.xuaekDoft6yYbIZ|o0IT','blurHashWidth':32}}",,,2025-02-23T04:20:06.856Z,2025-02-23T04:20:06.856Z
12,Tic Tac,,,,2025-02-23T03:25:36.104Z,2025-02-23T03:25:36.104Z
11,Lala,"{'url':'d0d6e2cde5bbc4ddf8d99bf788f73806f3de17e9327dfd8e1390d563ecdf5ea7.png','size':786782,'width':1080,'height':1080,'filename':'9.png','metadata':{'width':1080,'height':1080,'blurHash':'eLRyZ--;_N-;%i^+ofRkWBWC?vayS+ofMvxvWBs:oft7yGkCVpWVIT','blurHashWidth':32}}",,,2025-02-15T04:17:41.277Z,2025-02-21T03:53:10.070Z
10,El Super Leon ,"{'url':'7c4350d0a7b4454e2e78b5fd834f0f54c430f7cbec100abec055f4cdba59603c.png','size':863537,'width':1080,'height':1080,'filename':'15.png','metadata':{'width':1080,'height':1080,'blurHash':'eYRo?6%M?d%LtS-:kBWCjuag-?ayR*ofV?x]jaafayoyx^j[Ria{Mx','blurHashWidth':32}}",,,2025-02-13T06:18:15.393Z,2025-02-13T06:18:15.393Z
9,Las Morelianas,,,,2025-02-13T05:19:56.315Z,2025-02-13T05:19:56.315Z
8,El Peke,"{'url':'4b6701b16e1781c629ece271f920fb9d3eb6e349a0b2fcdcd602c00ded4d514b.png','size':736151,'width':1080,'height':1080,'filename':'16.png','metadata':{'width':1080,'height':1080,'blurHash':'eLS5|m-;.T-:.A?bofV[aeWDysayxcozI8%Maejcogt6=~j]Imf5Mx','blurHashWidth':32}}",2,,2025-02-13T04:55:32.001Z,2025-03-15T01:53:53.308Z
7,La Molienda,"{'url':'75217a71145d9acc522bf388a73f617c5d0ecf7ff3f46063726bc71c28ec195a.png','size':766500,'width':1080,'height':1080,'filename':'17.png','metadata':{'width':1080,'height':1080,'blurHash':'eOR{b}-p.T-;%i?aofRkayWD%%j]o#aeMvxuayogj[t6%hayROogMx','blurHashWidth':32}}",3,,2025-02-13T04:54:53.361Z,2025-03-15T01:54:01.496Z
6,Cubanito,"{'url':'02bf37cce55d988d3ad2d82c42389eb39f5a181fd9fe0d226ac4231291f96024.png','size':905980,'width':1080,'height':1080,'filename':'cubanitobrandiconcoin.png','metadata':{'width':1080,'height':1080,'blurHash':'ecRVzqxu?w%MNL-:kCWCayj@-?juNHa}s+xuayodj[j[%hfkRNj[RP','blurHashWidth':32}}",,,2025-02-12T22:05:30.249Z,2025-02-12T22:05:52.444Z
5,Vive 100,"{'url':'0264a0992f635f569e841fd242417f1f9de1c56fa8dcb6694ab6a38773335b88.png','size':739188,'width':1080,'height':1080,'filename':'vive100logo.png','metadata':{'width':1080,'height':1080,'blurHash':'eMR.}f-;?w-:tn?bofRkayWD.9axXUogVq%3aeogj]t6%$j]Vqf5I9','blurHashWidth':32}}",,,2025-02-04T21:42:43.374Z,2025-02-04T21:42:43.374Z
4,Coca Cola,"{'url':'04f38b1775caea9c1d06bdacda0c8fe1434516ffbb30a67cb3f4201c0db4e4ee.png','size':870948,'width':1080,'height':1080,'filename':'cocacola.png','metadata':{'width':1080,'height':1080,'blurHash':'eeRf8;xu?^xuoO%MkCWCaya#.Sa|R7j]bCxuayj]j]oexvj[W9fiRP','blurHashWidth':32}}",,,2025-02-04T21:30:00.224Z,2025-02-04T21:30:00.224Z
3,Kinder,"{'url':'b411b843573c74841df103358ac7729bab2ef2d65de95cc93f88939435d5f73c.png','size':700080,'width':1080,'height':1080,'filename':'4.png','metadata':{'width':1080,'height':1080,'blurHash':'eLS60u-;.T?H.A?bofV[ayWX%$oLxwWXI8%Maxj]j]t5-?WVM^s:Mw','blurHashWidth':32}}",5,,2025-02-03T20:13:44.901Z,2025-03-15T01:54:19.457Z
2,Barcel,"{'url':'0665badf9f35844dee12f8fb51497610a55d8f83b0677c24d55ed55d00223a46.png','size':787644,'width':1080,'height':1080,'filename':'3.png','metadata':{'width':1080,'height':1080,'blurHash':'eVR..9%M.T%Mt9-;ofR*ayf8%$aza3j]W+xuaxspkCk9%Nj[R$a{Md','blurHashWidth':32}}",4,,2025-02-01T23:57:37.289Z,2025-03-15T01:54:11.844Z
1,Sabritas,"{'url':'b9e5048b5bcb31677ee4219d09991a0d94cdab9767fe9cad30436a39c0bbfa33.png','size':729854,'width':1080,'height':1080,'filename':'2.png','metadata':{'width':1080,'height':1080,'blurHash':'eKS60v-;.T-;%i?uofV[aeWEyYa|xdoMM]%Maebcogt6?djuM^f*I9','blurHashWidth':32}}",1,,2025-02-01T23:52:46.269Z,2025-03-15T01:53:42.031Z
